city,名称,id,纬度,经度,评价分数,介绍,封面图片
乌鲁木齐,五一星光夜市,133970,43.787883,87.587265,4.6,五一星光夜市创办于1992年，是新疆近现代由官方设立的第一个夜市，至今在全疆闻名遐迩。它坐落在乌市五一东路、经二路，夜市设有美食一条街和购物一条街，东西小吃一条街全长263米，南北百货一条街全长411米，共设摊位500个。 夜市按照民族风俗习惯对小吃一条街进行了划行规市，民汉分餐，路北为清餐，路南为汉餐，每到夜晚，具有民族风味的烤全羊、烤肉，具有汉族特色的炒三鲜、砂锅等精品食品，香味扑鼻，业主们富有韵味的吆喝声和游客们欢快的笑声交织在一起，使夜市充满着生机、繁华。百货摊位商品丰富，琳琅满目，令人目不暇接。  五一星光夜市目前是中国乃至中亚、南亚、东南亚、西亚、俄罗斯远东地区最大的夜市，与同在乌鲁木齐的国际大巴扎遥相呼应，其规模庞大、数量众多、接待人数最多、品种最为齐全、营业时间最长而闻名于世。,https://dimg04.c-ctrip.com/images/0103x12000kl37omf4BF5.jpg
乌鲁木齐,新疆国际大巴扎宴艺大剧院,11518560,43.779482,87.619625,4.9,新疆国际大巴扎宴艺大剧院是一座集特色建筑、民俗风情、风味美食、餐饮娱乐等为一体的综合性艺术殿堂，有“新疆之窗”“中亚之窗”的美誉，位于乌鲁木齐市天山区。作为展示新疆多元文化和艺术魅力的重要窗口，这里为游客提供了一个深入了解和体验新疆文化的理想场所。新疆国际大巴扎宴艺大剧院是乌鲁木齐市专业的新疆伊斯兰歌舞大剧院之一，传承了新疆有着千年悠久历史的“宴”与“舞”相结合的独特民族待客方式，“巴扎人”将这些宝藏挖掘献与世人，创造出新疆的、中国的、世界的旅游品牌。新疆国际大巴扎宴艺大剧院承袭上古遗风，把千年来的西域歌舞精粹与中华筵席文化合二为一，菜系品种达上百种，正宗的民族烧烤达数十种。新疆国际大巴扎宴艺大剧院以其壮观的建筑设计和先进的舞台设施而著称，内部装饰融合了现代风格与传统民族元素，营造出一个富有新疆特色的艺术空间。每晚，大剧院都会上演精彩的演出，涵盖了传统舞蹈、音乐表演和现代艺术创作，生动展现了新疆丰富的文化遗产和艺术创新。观众可以在这里欣赏到维吾尔族、哈萨克族等少数民族的传统舞蹈和音乐，感受浓郁的民族风情和热情洋溢的表演氛围。新疆国际大巴扎宴艺大剧院是体验新疆风情的理想之地，游客可以在这里品尝地道的新疆美食，欣赏传统民族演艺节目。无论是艺术爱好者、文化探索者，还是寻求新鲜体验的旅行者，新疆国际大巴扎宴艺大剧院都为每一位到访者提供了一次难忘的文化之旅。,https://dimg04.c-ctrip.com/images/1lo0g12000jv6qx3cF2D4.jpg
乌鲁木齐,新疆师范大学-体育馆,7439751,43.832058,87.590165,0.0,,https://dimg04.c-ctrip.com/images/0HJ3z12000g2v9d8w5896.jpg
乌鲁木齐,新疆维吾尔自治区博物馆,12428,43.819402,87.583696,4.8,新疆维吾尔自治区博物馆位于乌鲁木齐市沙依巴克区，是新疆的省级博物馆。博物馆内展示了新疆的历史和各民族的民俗风情，还有干尸馆等国内罕见的展览，展品非常具有新疆特色，有名的“楼兰美女”古尸、“五星出东方”汉代织锦等文物也都可以在这里看到，是乌鲁木齐市内不可错过的景点。博物馆是一座现代化的三层大楼，但也融合了新疆的拱窗、圆顶等建筑风格，很有特点。馆内有几个常设展馆。一楼是新疆民族风情展和新疆古代历史文物展；二楼分为左右两侧，左侧是历代织品展厅和“永远和祖国在一起”主题展览，右侧是古代干尸展和白玉展厅。另外，馆内还经常有一些临时展览和陈列，赶上的话可以前去观看。新疆民族风情展馆在一楼，介绍了维吾尔、哈萨克、蒙古、锡伯等12个新疆主要民族的民俗风情，里面可以看到他们的乐器、生活用品和毡房屋子等展示，还有帽子、围巾等特色服饰，色彩大多艳丽，极具新疆的少数民族风情。比较有特点的是锡伯族的房屋，由于该族是由东北迁来，可以看到他们居住的屋子里还有东北传统的火炕。另外，充满俄罗斯族风情的家具和餐具用品等也十分具有特色。新疆古代历史文物展则由古至今，展示了丝绸之路上多种的出土文物，其中有汉代和唐代的很多中原器物，很有中国古代特色。还有西域的众多文物，可以看到天使等形象的壁画，还有很多西域特色的物件等，是西疆作为东西方联系纽带独有的文物特点，不可错过。二楼的干尸陈列和“永远和祖国在一起”陈列是馆内的精华展览。干尸馆内展示了几千年前古人的尸体，由于新疆气候干燥，这些尸体也免于腐败得以保存至今，非常珍贵。其中的“楼兰美女”古尸更是全馆的精华之一。“永远和祖国在一起”展览中，有“五星出东方”织锦、汉归义羌长印等珍贵文物，其中“五星出东方”织锦更是珍贵，关于它的传说十分精彩，一定要了解一下。,https://dimg04.c-ctrip.com/images/010011200095zco2o35D3.jpg
乌鲁木齐,红山公园,4444,43.808035,87.606468,4.6,公园的主体红山由紫色砂砾岩构成，山体呈赭红色，十分独特。在园内可以漫步林间、泛舟湖上，可以参观佛寺雕像等人文建筑，可以体验到各种游乐项目，登上山顶还能俯瞰市区的全景，游玩内容丰富，是区内放松休闲的好去处，也是外地游客游玩乌市不能错过的景点。公园面积不大，长宽在五六百米左右，进入后步行游览即可。园内有一座红山，海拔约有九百多米，但是与山下落差大约仅有一百几十米，山路间树木很多，环境很好。这里爬山不累，需要半小时左右，如果体力不足也可以乘坐从山下直达山顶的观光车。公园主要在东侧有几个入口，入口稍微有些难找，从友好百盛等其他区域看到公园后需要从东侧绕一下，从红山路北一巷和新民西街处再向西进入。游玩时主要有红山塔、大佛寺和远眺楼等几个区域。红山塔位于西侧的红山顶上，是一座九层的锗红色塔，与下面的红色山体颜色一致，非常特别。在红山塔处可以拍摄下面市区的全景，视野非常开阔。远眺楼位于公园内，也在山顶区域，这里也可以拍摄市区全景，不过与红山塔处差别不太大，不建议购票上去，在红山塔看看就很不错。大佛寺位于公园北侧，是一座仿古寺庙，可以供游客拜佛祈福。,https://dimg04.c-ctrip.com/images/0106j120009zdcsde209F.jpg
乌鲁木齐,新疆国际大巴扎,133968,43.779984,87.618014,4.5,新疆国际大巴扎是集特色建筑、民族商贸、歌舞演艺、特色美食、珠宝玉器等丰富业态于一体的AAAA级景区、文化产品聚集地和展示中心。作为国家认定的文化产业示范基地、新疆文化创意产业平台，每年人流量超过千万人次，是乌鲁木齐市重要的文化旅游地标建筑，现已成为一张新疆文化旅游金名片，更是一扇对外的“新疆之窗”、“中亚之窗”和“世界之窗”。,https://dimg04.c-ctrip.com/images/10011f000001h37tn1715.jpg
乌鲁木齐,达坂城风力发电站,120665,43.607356,87.782421,4.6,达坂城风力发电站位于乌鲁木齐市区与达坂城区之间的公路旁，是全国较大的风能基地。发电站由数百座巨大的发电风车组成，风车脚下的则茫茫无际的戈壁滩，景色十分壮观，深受摄影爱好者们的喜爱。一般游客参观发电站都是开车从乌鲁木齐到吐鲁番等地时路过的，发电站就位于公路旁边，在车上便可以看到，若是乘坐公共交通到此一定不要睡过去，可以在车上拍拍照片，也十分不错。如果是自驾，则可以下车拍摄，在连霍高速位于柴窝堡立交桥西侧约三公里的地方有专门的停车场可供游客停车摄影。如果是走G314国道，更可以停车走下马路，步行一段时间便可置身于巨大的风车矩阵里，近距离的观察风车。达坂城风力发电站内共有约一百多座风车，连绵长约80公里，宽约20公里，风车脚下是茫茫无际的戈壁，十分壮观。而且此处降雨极少，大部分时候都是蓝天白云的明媚天气，巨大风车在晴空下摇曳，非常漂亮。而由于地平线一望无际，这里的朝阳和夕阳往往更加火红，每天日出日落时，风车背后天光似火，更是拍出摄影大片的好时机。,https://dimg04.c-ctrip.com/images/0101g12000f6tty3oF6E9.jpg
乌鲁木齐,水磨沟风景区,4496,43.827304,87.657355,4.7,水磨沟公园位于市区东侧城郊，是市内规模较大的公园，园内有小桥流水、亭台楼阁，环境优美，漫步观赏十分不错，还有人文古迹、娱乐项目等，是当地居民周末放松出游的好去处。水磨沟公园面积很大，长宽大约都有几公里，园区内有观光车，可以乘车游玩。在公园内，有湖水、树木、金鱼和假山等，环境非常不错，另外还有纪晓岚、左宗棠等历史名人的雕像等，都可以一一参观。园区里有一些儿童游艺项目，湖上可以泛舟划船，都适合带小朋友前来游玩。除了参观公园外，水磨沟还是有名的温泉胜地，在公园西侧，有维斯特假日温泉酒店、雪莲山高尔夫温泉水疗会所等。,https://dimg04.c-ctrip.com/images/10021f000001gxe757559.jpg
乌鲁木齐,博格达峰,4650,43.801491,88.337632,4.6,博格达峰，海拔5445米，周围分布着113条冰川，冰雪融水汇聚成30多条河流。博格达峰是一座神圣之山。古往今来，生活在这里的人们，无不视为守护之神，称其为“天之通道、地之轴心、神之居所”。博格达峰是人类古老的祭天之地。祭天是中华民族古老文化顶端的祭祀，而围绕博格达主峰的祭天活动几千年来从未曾中断，这一古老的传统从新疆史前时期一直沿袭至清代。清乾隆年间，博格达峰被正式列入国家祭奠的名山序列，尊称为“福寿山”。,https://dimg04.c-ctrip.com/images/100a1f000001grkit6494.jpg
乌鲁木齐,新疆盐湖景区,56667,43.385268,88.128031,4.2,新疆盐湖景区新建盐雕艺术群、心灵之浴、室外漂浮、盐滩、徒步道，还增加了游船、卡丁车、滑草等娱乐项目，以旅游、度假、养生为主的新盐湖景象。地理坐标为东经88°1′00″-88°13′16″，北纬43°21′14″-43°29′8″，地理位置为乌鲁木齐市达坂城区314国道盐湖化工厂内。在这里可以乘小火车深入湖中观光，可以观看现代化大型采盐船采盐时喷水吞珠的壮丽场景，可以欣赏盐湖日出和晚霞的绚丽画卷，可以透过清盈的湖水，观赏形状各异、正在生长的栩栩如生的朵朵盐花，探求湖底世界的神秘，还可以领略到涨潮后湖面上留下的滚滚盐涛奇观。,https://dimg04.c-ctrip.com/images/100t1f000001gqbnjC2F6.jpg
乌鲁木齐,乌鲁木齐植物园,56921,43.890854,87.556344,4.6,乌鲁木齐植物园现有月季园、宿根花卉区、种植示范区、荒漠植物区、草坪游览区、忍冬区、药用植物区、果树区、蜜源植物区、蔷薇植物区、松柏区等十一个园区，引进各类植物已达600多种，包括新疆野生濒危植物灰杨、胡杨、西伯利亚红松、中国丽豆、锦鸡儿属、鸢尾属植物等。其中宿根花卉区是较好的风景游览点，它栽植了500余株40多个名贵品种的芍药，另外多种花色的鸢尾、耧斗菜、荷包牡丹、蓝亚麻、福禄考等竟相开放，形成了繁华似锦、三季有花，令游人驻足的景观。,https://dimg04.c-ctrip.com/images/0104e12000kpy7xgxC71B.jpg
乌鲁木齐,乌鲁木齐水上乐园,56919,43.754593,87.613915,4.2,乌鲁木齐水上乐园地处市区南部，是全疆的一座集园林艺术与娱乐为一体的综合性游乐园。乐园地貌独特、风景宜人、空气清新，甬道两边绿草如茵。180平方千米的自然水域，分布着野生芦苇，形成了天然的生态林地，碧波荡漾的水面，快艇、游船在水色黛碧的湖面上穿行。民族建筑是乐园的一大特色，三百米的观景长廊伫立在前区，高大雄伟，反映地域文化的凉亭，依湖而立，美丽壮观。乐园现有各类游乐设施60余项，划分为水面游乐园、陆地游乐区、旅游观光区、林地休闲区、商饮服务区、公共活动区六大区域。园内有超大型的“三环原子滑车”、58米的巨型“摩天轮”、全国四个超高组合的“蹦极塔”、“时空穿梭自由塔”等，在湖的南岸，以新疆特有的葡萄、果木、月季花组成的花果园为水上乐园构成了一道更加亮丽的风景线。,https://dimg04.c-ctrip.com/images/0101912000f6t5d3iF04C.jpg
乌鲁木齐,新疆古生态园汗血马基地,120818,43.854002,87.576829,4.6,新疆古生态园汗血马基地位于乌鲁木齐市区鲤鱼山上，始建于2005年，占地近300亩，园内有硅化木、胡杨木、黑铁陨石、草原石人、硅化木、普氏野马、汗血宝马等大量珍稀生态资源，园区还配套有 “野马-丝路驿站文化主题酒店”。这些景观融合在一起，形成了新疆古生态园“马、画、园、店”四大主题。目前，新疆古生态园汗血马基地被自治区旅游局命名为“文化旅游景区”，被自治区文化厅命名为“自治区文化产业示范基地”。是新疆自然博物馆协会成员单位，国家古化石博物馆基地、新疆生态文明教育基地等。2016年6月，上海合作组织提名新疆古生态园汗血马基地为“上合文化产业示范基地” 。因此，新疆古生态园汗血马基地不仅是文化旅游主题景区，也是一带一路的文化交流的基地。,https://dimg04.c-ctrip.com/images/0104p12000f6re2do1F44.jpg
乌鲁木齐,红山塔,120852,43.80767,87.60195,4.5,红山塔位于乌鲁木齐市西大桥北侧的红山之峰(现红山公园内)，与雅玛里克山砖塔遥相对应。红山宝塔高10.6米，为六面九级青砖实心塔。该塔西面是悬崖峭壁，形如蟾蜍昂首；东面是红山东西走向的延伸部分；南北两面是陡坡。红山塔由塔基、塔身和塔刹三部分组成。平面呈六角形。塔基高l米，每边长2.26米；塔身每级间高约0．9米。塔檐叠涩挑出，收分较明显。砖塔建筑结构严谨，造型美观，建造得相当坚固。红山宝塔历经200多年的风雨变迁，至今完好无损地矗立在悬崖顶端，堪称乌鲁木齐一绝。“塔映夕阳”是乌鲁木齐老八景中第一个奇特的景观。每当夕阳西照，虎头峰断崖红光熠熠，整个峰峦红光四射，宛如神话中的宝光出现，又似瑶池仙境巧移红山。红山宝塔在夕阳的余晕中，塔影斜长，呈现出迷人的风姿，故称“塔映夕阳”。 参观红山塔，如唐人孟浩然所吟：“人事有代谢，往来成古今。江山留胜迹，我辈复登临。”,https://dimg04.c-ctrip.com/images/0105612000f6turf56BC2.jpg
乌鲁木齐,人民公园,4657,43.798344,87.604192,4.7,人民公园平均海拔800米，位于“长桥饮马”雕塑西面百米处。这里原先只是乌鲁木齐河西岸的一片湖沼，四周古树蓊郁。清乾隆二十年（1755年）建造乌鲁木齐城时，将该地辟为官员休憩之地。光绪九年（1883年）开始建园。1918年主政新疆的杨增新又予以扩建，疏浚湖底，整修湖岸，仿照古代中原地区殿堂式样，建造了丹凤朝阳阁，后又建龙王庙、醉霞亭、晓春亭、鉴湖亭，还有为纪念清代大学者纪晓岚而建的“阅微草堂”等。现在园中林木参天，花草遍地。有曲径通幽的园中园，光怪陆离的“水晶宫”，亭旁庭前的雕塑，还有儿童游乐园及旱冰场等景点设施。由春及秋，时有花卉展、盆景展、书画展、摄影展。隆冬三九常举办冰雕盛会及开展滑冰运动。,https://dimg04.c-ctrip.com/images/1A0313000000tzu3uEBE0.jpg
乌鲁木齐,达坂城古镇景区,56673,43.328185,88.338054,4.3, 达坂城白水镇位于天山脚下，达坂城盆地的南端，扼进出天山的关口，是南北疆的分界线，自古即是丝绸之路的必经之地。白水镇是一个风口，当地有民谣说：“达坂城、老风口、大风小风天天有，小风刮歪树，大风飞石头。”人们调侃说，这里的风一年只刮一次，从冬天刮到春天。由于冬季长期受风力作用，这一带的树均长不高，树干无一例外向东南方向倾斜，形成了特色的达坂城”三怪”之一，又称为“马刀树”、“风向树”，别具一格。但是一旦到了夏季，大风就停止了。气候适宜，微风拂面。作为丝绸之路的重要驿站，白水镇有民俗陈列馆、王骆宾艺术馆、百水驿站、茶肆、马厩等相关展示。更有仿唐代西域风格建筑，护城河、吊桥、烽燧、兵器台，生动再现了当年“古戍依重险，高楼见五凉，山根盘驿道，河水浸城墙”的大唐盛世边关军镇的威武雄姿。,https://dimg04.c-ctrip.com/images/100k1f000001guem856AF.jpg
乌鲁木齐,柴窝堡湖,4655,43.500301,87.907405,4.9,柴窝堡湖呈圆形，似核桃状，面积约为28平方公里，湖水稍咸，由博格达峰及公格尔峰融雪汇集而成，是一个冷水性湖泊，水平如镜，清可鉴人。站在湖畔，旅游区内绿树成荫，湖边有草原，有林带，有田园，有荒漠，更有湿地沼泽，芦苇丛生。远处是茫茫雪山，近处是一潭碧水，有时微风拂面，树丛芦苇迎风摇曳，渔船穿梭，海鸥飞翔，令人乐而忘返，而有时又是大风肆虐，湖水浊浪排空，苍苍茫茫，景色壮观，天地间仿佛可见到流动的空气，这里白天天高云淡，空气清新，自然风光令您心旷神怡；夜晚繁星点点，抬头仰望，星空近得仿佛触手可及，令你分不清星光和灯光。,https://dimg04.c-ctrip.com/images/0106a12000dlniny08FF7.jpg
乌鲁木齐,红山公园大佛寺,120766,43.809785,87.60565,4.7,红光山大佛寺位于乌鲁木齐北面卡子湾附近的红光山，大佛寺山门红光山大佛寺建筑群始建于2002年，于2010年完工，历时8年，是中国西北的一个汉传佛教寺庙。大佛寺的山门，宽17米，高15.6米，高大雄伟，正面是新疆书法家协会副主席张沧书题写的“觉世大慈”，背面是书法家闵荫南题写的“悯世大悲”。红光山释迦牟尼佛始建于2002年7月19日，2004年底完工，历时两年，佛像通高40.8米，直径14米，佛手高5.7米，佛的耳朵高达2.6米。释迦牟尼金身像背后，是一组建筑群，占地面积约3万平方米，寺院坐东向西，主要有大雄宝殿、五百罗汉堂、千手观音殿、地藏殿、钟鼓楼、厢房等，建筑风格跟内地汉传佛教寺庙大体一致。,https://dimg04.c-ctrip.com/images/0102s120008ibt77e4C76.jpg
乌鲁木齐,五彩湾风景区,133975,44.911767,87.89171,3.3,五彩湾是一幅大自然的杰作。千百年来，由于地壳的运动，在这里形成极厚的煤层，后几经沧桑，覆盖地表的沙石被风雨剥蚀，使煤层露出，在雷电和阳光的作用下燃烧殆尽，就形成了这光怪陆离的自然景观。五彩湾地貌起伏，奇峰怪石，千姿百态，或蜿蜓如巨蟒；或威武似雄狮；或典雅如仕女；或玲珑似宝塔；让人扑朔迷离，应接不暇。适逢黄昏，登高远望，整个五彩湾被落日点燃，如火如炽，让人心潮澎湃，热血沸腾。  五彩湾不但风光雄奇，而且还是一座天然宝库，储藏着丰富的石油资源和大量的黄金、珍珠、玛瑙、石英、铁、铝、锌等20多种矿产。在沙漠植被地带还栖居着野驴等珍禽异兽。此外，这里还有许多如恐龙沟、硅化木、金矿等自然景观和人文景观。  ,https://dimg04.c-ctrip.com/images/0101d120009cylu5hD9B9.jpg
乌鲁木齐,天山野生动物园,56663,43.678339,87.808404,4.0,天山野生动物园也称为博格达南麓野生动物园，位于达坂城区原天山牧场二队，东临乌拉泊牧场、西至白杨沟村、南距吐乌大高速公路约1公里、距离乌鲁木齐市区25公里，北到柳木湖，占地63.12平方公里。天山野生动物园展馆有虎馆、狮馆、豹馆、熊馆、猴岛、白虎馆、大象馆、河马馆、长颈鹿馆、斑马馆、猩猩馆、科普馆、旅游商店、儿童乐园等。,https://dimg04.c-ctrip.com/images/01041120009zdd5kt4D13.jpg
乌鲁木齐,陕西大寺,4656,43.789437,87.621038,4.7,陕西大寺又名东大寺，始建于清朝，寺院较大，可同时容纳上千人做礼拜。这座隐藏在高楼大厦中的古老建筑，有着浓厚的中国式建筑风格。陕西大寺为庭院式建筑，坐西向东，大殿为古代传统砖木结构、琉璃瓦顶，高达10余米，系古老的砖木结构，风格颇似中国古代宫殿，前部为单檐歇山式，屋顶铺嵌着绿色琉璃瓦。大报周围走廊有36根红圆木柱，规模宏伟，十分壮观。大殿后部为上八下四的重檐式的“八角楼”，名叫望月楼，是阿訇登临观看月亮出没，宣告斋戒的场所。殿内四壁和门窗的装饰，刻工精美，砖雕木刻均采用花卉、瓜果等各种图案。大殿前面是宽敞的大院，除西面外，各面均建有厅堂。北厅是讲堂，南厅为浴室，东厅是各地阿訇进修之所。,https://dimg04.c-ctrip.com/images/10080j0000009zchtFEDA.jpg
